id,name,address,lat,lng,price,number_of_machine,description,created_at,updated_at,is_deleted,deleted_at
54,タイトーステーションフェドラ大須店,愛知県名古屋市中区大須3-30-31萬松寺駐車場ビル1F･2F,35.1593893,136.905582,,,,,,,
55,キングジョイ,愛知県名古屋市中区栄3-3-32,35.1680528,136.9049282,,,,,,,
56,コムテックスクウェア金山,愛知県名古屋市中区金山1-16-8,35.1440209,136.9000012,,,,,,,
57,ファンタジープラザ名古屋店,愛知県名古屋市北区玄馬町234-1クロスタウン2F,35.2263576,136.909053,,,,,,,
58,M'Sパーク豊田店,愛知県豊田市寿町3-10-11,35.0565281,137.1403021,,,,,,,
59,ドリーム キャンディ,三重県伊賀市小田町711-1,34.775508,136.1221368,,,,,,,
60,アピナ四日市店,三重県四日市市泊小柳町4-34,34.9393917,136.6069745,,,,,,,
61,アミューズメントCUE京都円町店,京都府京都市中京区西ノ京西円町40,35.0188326,135.7311504,,,,,,,
62,キョーイチアミューズメントパーク吉祥院,京都府京都市南区吉祥院石原長田町1-2,34.9659478,135.7244496,,,,,,,
63,GiGO難波アビオン,大阪府大阪市浪速区難波中2-3-15MMOビル1F､2F,34.6625826,135.5034942,,,,,,,
64,G-palaあべの店,大阪府大阪市阿倍野区阿倍野筋3-10-1あべのベルタ2F,34.6423105,135.5114704,,,,,,,
65,トップラン東大阪,大阪府東大阪市東鴻池町1-6-30イオンタウン東大阪2F,34.6937275,135.6176671,,,,,,,
66,アピナ姫路店,兵庫県姫路市東郷町1454-3姫路リオス2F,34.8267185,134.7152242,,,,,,,
67,ホムスタ玉津店,兵庫県神戸市西区丸塚2-9-18メガパレス2F,34.6794989,134.9835387,,,,,,,
68,トップラン,兵庫県神戸市西区岩岡町古郷1474-1,34.7175703,134.9289806,,,,,,,
69,メカランド サルビア,鳥取県鳥取市南隈860,35.5196333,134.2032544,,,,,,,
70,ふぇすたらんど倉敷マスカット店,岡山県倉敷市松島1163-2マルナカマスカット店別館3F,34.6277044,133.8025077,,,,,,,
71,タイトーステーション広島紙屋町店,広島県広島市中区紙屋町2-2-21,34.3940529,132.4560844,,,,,,,
72,遊道楽新合川,福岡県久留米市新合川1-6-7,33.3217255,130.5410136,,,,,,,
73,PEP魚町,福岡県北九州市小倉北区魚町2-4-20,33.8839563,130.8801448,,,,,,,
74,遊道楽 嘉瀬店,佐賀県佐賀市嘉瀬町大字中原2488-1,33.2417664,130.2568633,,,,,,,
75,フェスタ人吉店,熊本県人吉市宝来町1307-1人吉レックス内,32.2124712,130.7474439,,,,,,,
76,トライセン萩原店,大分県大分市萩原4-227-1ACS内3F,33.2492391,131.6435345,,,,,,,
77,G-pala日田店,大分県日田市友田997-1,33.3254118,130.9115124,,,,,,,
78,モーリーファンタジー那覇,沖縄県那覇市金城5-10-2イオン那覇3F,26.1969565,127.6657676,120,1,,,,,
